site,latitude,longitude
Bashkortostan_drained_fen,55.5476,55.598
Bashkortostan_drained_floodplain_1,55.4491,55.4865
Bashkortostan_drained_floodplain_2,55.4337,55.4497
Bashkortostan_fen,55.4804,55.9943
Borneo_drained_swamp,5.322965,115.6649604
Borneo_swamp_forest,5.3223,115.6581
Brazil_drained_floodplain,-28.5523,-48.8076
Brazil_floodplain,-28.5527,-48.8079
California_drained_fen,38.0169,-121.6203
California_fen,38.0169,-121.6203
Catalonia_transitional_bog,42.6282,0.7607
Colombia_drained_paramo,6.643138,-75.6655
Colombia_paramo,6.6699,-75.6681
Estonia_drained_floodplain,58.4236,26.5123
Estonia_floodplain,58.4142,26.4839
Finland_drained_fen,67.99785,24.212788
Finland_fen,67.997264,24.209086
Florida_restored_wetland_dry,26.46488,-81.7782
Florida_restored_wetland_wet,26.464938,-81.777874
Florida_swamp_forest_1,26.38,-81.58
Florida_swamp_forest_2,26.38,-81.58
Florida_tomato_field,26.3793,-81.6018
France_transitional_bog_1,47.32,2.23
France_transitional_bog_2,47.32,2.23
French_Pyrenees_fen,42.8032,1.424
Iceland_drained_fen,64.8332,-22.916
Iceland_drained_fen_2,64.28728,-15.462056
Iceland_fen_1,64.34564,-15.492474
Khabarovsk_drained_fen,48.49355,135.396294
Khabarovsk_fen,48.497288,135.412626
Kyrgyzstan_drained_fen,41.7612,75.3748
Kyrgyzstan_fen_1,41.9442,75.4276
Kyrgyzstan_fen_2,41.894,75.350298
Mexico_chinampa_1,19.29,-99.09
Mexico_chinampa_2,19.29,-99.09
Mexico_fen,19.2862,-99.093
Montana_Bog_1,45.524884,-111.018086
Montana_bog_2,45.582581,-111.661221
Morocco_bog_1,35.2703,-6.0528
Morocco_bog_2,35.1866,-5.3622
Myanmar_drained_fen_1,20.64389675,96.891379
Myanmar_drained_fen_2,20.63281033,96.90526433
Myanmar_fen,20.6238465,96.911733
New_Zealand_drained_fen_1,-37.4333,175.55
New_Zealand_fen_1,-37.4333,175.55
New_Zealand_fen_2,-46.5356,168.4334
Pantanal_pasture_1,-16.5054,-56.746
Pantanal_pasture_2,-16.512,-56.7493
Pantanal_pasture_3,-16.5398,-56.7234
Pantanal_swamp_forest,-16.4833,-56.7463
Quebec_drained_bog,45.1189,-74.2039
Romania_bog_1,47.2591,25.3574
Romania_bog_2,47.2591,25.3574
Romania_bog_forest_1,47.2591,25.3574
Romania_bog_forest_2,47.2591,25.3574
Siberia_bog,60.88,68.7
Siberia_bog_forest,60.88,68.7
Siberia_fen,60.91,68.75
Taiwan_fen,22.2011,120.8514
Taiwan_recreation,22.2006,120.8509
Tasmania_blanket_bog,-42.881,146.3799
Tasmania_drained_fen_1,-40.866502,145.0653902
Tasmania_drained_fen_2,-40.9231,144.8703
Tasmania_fen,-40.9234,144.8726
Tasmania_raised_bog,-42.175597,146.578327
Tierra_del_Fuego_bog,-54.74044,-67.87811
Tierra_del_Fuego_fen,-54.74044,-67.87811
Uganda_drained_fen_1,-1.342,30.0253
Uganda_drained_fen_2,-1.2308475,29.960741
Uganda_fen,-1.342,30.0253
Uganda_rice_paddy,0.933862667,34.028472
Wales_blanket_bog,52.9997,-3.8036
Wales_drained_bog,52.9692,-3.8167
Wales_fen,53.0001,-3.775
